PassengerId,Cabin,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,GroupId,Num,GroupSize,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_False,CryoSleep_True,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_False,VIP_True,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S
0001_01,B/0/P,39.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,1,0.0,1,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False
0002_01,F/0/S,24.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,2,0.0,1,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
0003_01,A/0/S,58.0,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,3,0.0,2,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True
0003_02,A/0/S,33.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,3,0.0,2,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True
0004_01,F/1/S,16.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,4,1.0,1,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
0005_01,F/0/P,44.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,5,0.0,1,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False
0006_01,F/2/S,26.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,6,2.0,2,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
0006_02,G/0/S,28.0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,6,0.0,2,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True
0007_01,F/3/S,35.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,7,3.0,1,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
0008_01,B/1/P,14.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,8,1.0,3,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False
0008_02,B/1/P,34.0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,8,1.0,3,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False
0008_03,B/1/P,45.0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,8,1.0,3,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False
0009_01,F/1/P,32.0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,9,1.0,1,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False
0010_01,G/1/S,48.0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,10,1.0,1,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True
0011_01,F/2/P,28.0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,11,2.0,1,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False
0012_01,,31.0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,False,12,431.0,1,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
0014_01,F/3/P,27.0,1286.0,122.0,197.0,0.0,0.0,Flats Eccle,False,14,3.0,1,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
0015_01,F/4/P,24.0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,15,4.0,1,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
0016_01,F/5/P,45.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,16,5.0,1,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False
0017_01,G/0/P,0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,17,0.0,2,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False
0017_02,F/6/P,14.0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,17,6.0,2,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
0020_01,E/0/S,1.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,20,0.0,6,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True
0020_02,E/0/S,49.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,20,0.0,6,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0020_03,E/0/S,29.0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,20,0.0,6,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0020_04,E/0/S,10.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,20,0.0,6,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True
0020_05,E/0/S,1.0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,20,0.0,6,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
0020_06,E/0/S,7.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,20,0.0,6,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True
0022_01,D/0/P,21.0,980.0,2.0,69.0,0.0,0.0,,False,22,0.0,1,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False
0024_01,C/2/S,62.0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True,24,2.0,1,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True
0025_01,F/6/S,15.0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,25,6.0,1,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
0026_01,C/0/P,34.0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,26,0.0,1,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0028_01,F/8/P,43.0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,28,8.0,1,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False
0030_01,G/4/S,32.0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,30,4.0,1,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True
0031_01,F/9/P,47.0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,31,9.0,3,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False
0031_02,F/9/P,2.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,31,9.0,3,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False
0031_03,F/9/P,20.0,313.5,0.0,1750.0,990.0,0.0,Dontch Datie,True,31,9.0,3,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False
0034_01,D/1/S,28.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,34,1.0,1,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
0035_01,D/1/P,23.0,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,35,1.0,1,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
0036_01,F/8/S,15.0,0.0,492.0,48.0,20.0,401.0,Marina Leodger,False,36,8.0,1,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0038_01,F/10/S,20.0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,38,10.0,1,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0039_01,G/1/P,30.0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False,39,1.0,1,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
0041_01,G/2/P,17.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,41,2.0,1,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False
0043_01,B/3/P,45.0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,43,3.0,1,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False
0044_01,G/3/P,55.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,44,3.0,3,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False
0044_02,G/3/P,4.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,44,3.0,3,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
