PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,GroupId,Deck,Num,Side,GroupSize
0001_01,Earth,FALSE,B/0/P,TRAPPIST-1e,39,FALSE,0,0,0,0,0,Maham Ofracculy,FALSE,1,F,0,S,1
0002_01,Earth,FALSE,F/0/S,TRAPPIST-1e,24,FALSE,109,9,25,549,44,Juanna Vines,TRUE,2,F,0,S,1
0003_01,Earth,FALSE,A/0/S,TRAPPIST-1e,58,FALSE,43,3576,0,6715,49,Altark Susent,FALSE,3,F,0,S,2
0003_02,Earth,FALSE,A/0/S,TRAPPIST-1e,33,FALSE,0,1283,371,3329,193,Solam Susent,FALSE,3,F,0,S,2
0004_01,Earth,FALSE,F/1/S,TRAPPIST-1e,16,FALSE,303,70,151,565,2,Willy Santantines,TRUE,4,F,1,S,1
0005_01,Earth,FALSE,F/0/P,TRAPPIST-1e,44,FALSE,0,483,0,291,0,Sandie Hinetthews,TRUE,5,F,0,S,1
0006_01,Earth,FALSE,F/2/S,TRAPPIST-1e,26,FALSE,42,1539,3,0,0,Billex Jacostaffey,TRUE,6,F,2,S,2
0006_02,Earth,TRUE,G/0/S,TRAPPIST-1e,28,FALSE,0,0,0,0,0,Candra Jacostaffey,TRUE,6,F,0,S,2
0007_01,Earth,FALSE,F/3/S,TRAPPIST-1e,35,FALSE,0,785,17,216,0,Andona Beston,TRUE,7,F,3,S,1
0008_01,Earth,TRUE,B/1/P,TRAPPIST-1e,14,FALSE,0,0,0,0,0,Erraiam Flatic,TRUE,8,F,1,S,3
0008_02,Earth,TRUE,B/1/P,TRAPPIST-1e,34,FALSE,0,0,0,0,0,Altardr Flatic,TRUE,8,F,1,S,3
0008_03,Earth,FALSE,B/1/P,TRAPPIST-1e,45,FALSE,39,7295,589,110,124,Wezena Flatic,TRUE,8,F,1,S,3
0009_01,Earth,FALSE,F/1/P,TRAPPIST-1e,32,FALSE,73,0,1123,0,113,Berers Barne,TRUE,9,F,1,S,1
0010_01,Earth,FALSE,G/1/S,TRAPPIST-1e,48,FALSE,719,1,65,0,24,Reney Baketton,FALSE,10,F,1,S,1
0011_01,Earth,FALSE,F/2/P,TRAPPIST-1e,28,FALSE,8,974,12,2,7,Elle Bertsontry,TRUE,11,F,2,S,1
0012_01,Earth,FALSE,,TRAPPIST-1e,31,FALSE,32,0,876,0,0,Justie Pooles,FALSE,12,F,,S,1
